id,prevExp,jobResp,training,research,gathering,engage,metrics,socialMedia,degree,security,position,newsroom,researchFreq,engageFreq,subregion
19,3,"1:3,2:2,3:2,4:3,5:3,6:3,7:1,8:3,9:1,10:1,11:2,12:2,13:2,14:1,15:1,16:3,17:3,18:3,19:2,20:3,21:3,22:3,23:3,24:3,25:3","2,4,16,23,24","4,7,9,15","2,9,12,17","2,12,16","6,7,8,16,17","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:2,9:2,10:1,11:2,12:3","1,4","3,8",6,1,"1:2,2:3,3:1,4:2,5:1,6:3,7:2,8:3","1:3,2:2,3:2,4:2,5:2,6:1,7:3",Europe
20,"1,3,5","1:2,2:2,3:1,4:1,5:0,6:3,7:2,8:1,9:2,10:0,11:2,12:3,13:0,14:0,15:2,16:3,17:3,18:3,19:1,20:1,21:3,22:3,23:2,24:3,25:3","4,5,9,23,24","1,4,15","1,9,12,15,20","1,2,16","2,3,4,6,7,8,9,16,17,19,21","1:2,2:3,3:2,4:2,5:3,6:3,7:3,8:2,9:3,10:2,11:2,12:3",2,"6,8",5,4,"1:3,2:2,3:1,4:1,5:1,6:2,7:3,8:3","1:3,2:3,3:1,4:1,5:1,6:1,7:1",Sub-Saharan Africa
21,"1,2,3,5,6","1:3,2:3,3:1,4:2,5:0,6:0,7:3,8:2,9:2,10:2,11:3,12:3,13:1,14:0,15:3,16:1,17:1,18:2,19:0,20:2,21:1,23:0,24:2,25:1","2,4,8,23,24","7,9,11,15","2,3,9,13,14,16,17,20","1,7,9,16","1,2,4,5,6,7,9,10,12,16,17,19,21","1:2,2:1,3:1,4:0,5:0,6:1,7:1,8:1,9:0,10:0,11:0,12:0","1,4","4,8",8,4,"1:1,2:2,3:2,4:1,5:1,6:0,7:2,8:2","1:2,2:3,3:2,4:1,5:1,6:2,7:2",North America
22,1,"1:3,2:3,3:2,4:2,6:3,7:1,8:3,9:3,10:2,11:1,12:1,13:3,14:3,15:1,16:1,17:1,18:2,19:2,20:2,21:2,22:3,23:2,24:2,25:2","23,24","2,13,15","1,2,3,12",16,null,null,2,8,8,3,"1:3,2:3,3:2,4:3,5:3,6:2,7:2,8:3",null,null
23,"1,2,3",null,"23,24",15,null,16,null,null,1,8,8,1,null,null,null
25,3,"1:1,2:1,3:3,4:3,5:0,6:0,7:3,8:2,9:2,10:1,11:2,12:1,13:3,14:1,15:3,16:2,17:1,18:1,19:1,20:1,21:1,22:1,23:0,24:0,25:1","1,2,5,23,24","1,3,15","1,2,11,20","5,9,16",22,"1:3,2:3,3:3,4:0,5:3,6:1,7:3,8:2,9:2,10:3,11:1,12:3",4,"6,8",5,6,"1:3,2:3,3:0,4:2,5:1,6:3,7:0,8:0","1:1,2:3,3:0,4:1,5:0,6:0,7:0",South Asia
28,7,null,"23,24",15,null,16,null,null,3,8,6,6,null,null,null
29,"1,2,3,5","1:3,2:2,3:1,4:3,5:0,6:3,7:2,8:3,9:1,10:2,11:3,12:3,13:0,14:0,15:2,16:3,17:3,18:3,19:3,20:2,21:1,22:3,23:3,24:3,25:3","4,15,18,23,24","4,9,14,15","1,2,5,7,9,10,12,15,17,20","2,12,13,16","1,2,6,8","1:3,2:3,3:3,4:0,5:0,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"2,8",7,2,"1:3,2:3,3:3,4:3,5:0,6:0,7:1,8:3","1:3,2:3,3:3,4:3,5:2,6:3,7:3",North America
30,4,null,"23,24",15,null,16,null,null,4,8,8,4,null,null,null
32,"2,3,6","1:2,2:1,3:0,4:0,5:0,6:0,7:2,8:3,9:2,10:0,11:0,12:0,13:0,14:0,15:1,16:1,17:2,18:0,19:0,20:0,21:1,22:2,23:0,24:0","1,2,4,5,9,17,19,23,24","1,15","3,5,7,9,12,14,20,21","1,2,7,12,16","2,4,16","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",4,"2,3,8",4,1,"1:1,2:3,3:3,4:2,5:0,6:2,7:0,8:2","1:3,3:2,4:2,5:3,6:2,7:2",South Asia
33,"1,2","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","18,23,24",15,"1,2,3,12,13,19","4,5,6,16","1,5","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",3,8,8,6,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",South Asia
34,7,"1:2,2:2,3:3,4:3,5:0,6:2,7:1,8:2,9:2,10:2,11:2,12:1,13:3,14:0,15:2,16:1,17:0,18:0,19:0,20:0,21:0,22:1,23:1,24:0,25:3","5,8,10,23,24","1,3,4,15","2,20","2,4,11,16","2,7","1:3,2:3,3:2,4:2,5:3,6:3,7:3,8:1,9:3,10:2,11:1,12:3",4,"6,8",8,1,"1:3,2:3,3:3,4:3,5:2,6:3,7:2,8:3","1:3,2:3,3:3,4:3,5:3,6:2,7:3",South Asia
35,"2,3,5","1:2,2:1,3:0,4:1,5:0,6:2,7:2,8:3,9:2,10:0,11:2,12:3,13:1,14:0,15:1,16:3,17:3,18:2,19:2,20:0,21:2,22:2,23:2,24:3,25:3","1,4,5,23,24","3,4,9,15","1,2,5,8,9,10,12,14,15,17,20","1,2,8,12,13,16","1,2,3,4,5,6,9,10,18,20,21","1:3,2:3,3:3,4:1,5:3,6:3,7:2,8:1,9:3,10:3,11:3,12:3",1,"6,8",5,6,"1:3,2:3,3:2,4:2,5:1,6:1,7:1,8:2","1:3,2:3,3:1,4:2,5:1,6:1,7:1",North America
36,3,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,23,24","3,4,7,15",17,"1,2,3,16",2,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"5,8",8,4,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",Sub-Saharan Africa
37,7,"1:2,2:0,3:0,4:0,5:0,6:0,7:0,8:2,9:2,10:0,11:2,12:2,13:2,15:2,16:3,17:2,18:3,19:2,20:2,22:2,23:1,24:2,25:3","2,7,8,9,23,24","1,4,15","1,2,3,7,8,9,10,11,12,14,15,16,17,18,20,21","1,2,3,4,8,11,13,16",13,"1:3,2:3,3:3,4:3,5:3,6:3,9:3,10:3,11:3,12:3",1,8,8,1,"1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",South Asia
38,1,"1:3,2:0,3:0,4:0,5:0,6:3,7:0,8:3,9:3,10:0,11:0,12:1,13:0,14:0,15:1,16:1,17:1,18:0,19:0,20:0,21:2,22:2,23:0,24:0,25:3","3,4,5,23,24","4,6,9,15","3,7,9,12,17,21","2,12,13,16","2,7,13,16","1:3,2:3,3:0,4:1,5:1,6:1,7:3,8:1,9:0,10:1,11:1,12:0","1,4","6,8",6,4,"1:1,2:1,3:0,4:2,5:0,6:1,7:1,8:3","1:2,2:2,3:0,4:0,5:0,6:0,7:2",East and Southeast Asia
39,7,"1:2,2:0,3:2,4:2,5:2,6:2,7:0,8:2,9:1,10:1,11:2,12:3,13:2,14:0,15:1,16:2,17:2,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:1","8,14,18,21,23,24","4,14,15","1,9,14,15,19,20","2,5,7,16",22,"1:1,2:2,3:0,4:0,5:3,6:3,7:2,8:0,9:2,10:2,11:2,12:3",3,"6,8",7,1,"1:2,2:1,3:1,4:0,5:0,6:0,7:2,8:0","1:3,2:2,3:1,4:0,5:0,6:1,7:0",North America
40,1,"1:3,2:2,3:3,4:2,5:3,6:2,7:2,8:3,9:3,10:3,11:2,12:2,13:2,14:2,15:2,16:3,17:3,18:2,19:1,20:2,21:2,22:2,23:2,25:3","1,7,12,23,24","4,8,9,15",1,"2,11,13,16",1,"1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:2,9:3,10:2,11:2,12:2","1,4","2,8",8,4,null,"1:3,2:2,3:1,4:1,5:2,6:0,7:0",South Asia
42,1,"1:2,2:1,3:0,4:1,5:0,6:2,7:1,8:1,9:2,10:2,11:0,12:0,13:0,14:0,15:3,16:2,17:2,18:3,19:2,20:1,21:1,22:1,23:2,24:1,25:3","1,2,4,6,10,15,23,24","1,2,4,15","1,2,9,10,14,20,21","2,16","2,7","1:2,2:2,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:2,11:2,12:3",4,"6,8",8,1,"1:3,2:3,3:1,4:2,5:1,6:1,7:1,8:2","1:3,2:3,3:0,4:1,5:0,6:1,7:2",South Asia
43,"1,2,3","1:3,2:2,3:1,4:1,5:0,6:3,7:2,8:2,9:3,10:0,11:1,12:3,13:1,14:0,15:2,16:3,17:3,18:2,19:0,20:0,21:1,22:0,23:0,24:0,25:3","3,15,18,23,24","1,4,9,15","1,2,12,20","1,2,11,13,16","7,21","1:3,2:3,3:3,4:1,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3",4,"6,8",4,1,"1:3,2:3,3:3,4:3,5:1,6:3,7:3,8:3","1:3,2:3,3:2,4:2,5:3,6:3,7:3",South Asia
44,7,"1:2,2:1,3:2,4:3,5:0,6:3,7:2,8:1,9:0,10:1,11:0,12:0,13:3,14:2,15:2,16:3,17:3,18:2,19:1,20:0,21:0,22:0,23:0,24:2,25:1","2,4,10,23,24","1,15","2,20","1,16",22,"1:2,2:2,3:0,4:0,5:2,6:0,7:0,8:1,9:0,10:2,11:2,12:2",3,"6,8",8,6,"1:0,2:3,3:2,4:1,5:1,6:0,7:0,8:2","1:1,2:3,3:2,4:1,5:3,6:0,7:2",South Asia
46,"1,2,3","1:2,2:2,3:2,4:2,5:0,6:2,7:1,8:3,9:1,10:1,11:2,12:3,13:0,14:0,15:2,16:2,17:2,18:1,19:0,20:1,21:1,22:0,24:1,25:3","2,4,5,23,24","1,2,4,15","1,2,5,9,10,12,18,20","1,2,13,16","1,2,4,8,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",8,1,"1:3,2:3,3:2,4:2,5:0,6:3,7:2,8:2","1:3,2:3,3:3,4:2,5:3,6:2,7:2",Sub-Saharan Africa
48,"1,2,3,4,5,6","1:1,2:2,3:2,4:2,5:1,6:0,7:0,8:3,9:3,10:3,11:3,12:3,13:1,14:0,15:3,16:1,17:1,18:3,19:2,20:1,21:2,22:3,23:3,24:3,25:3","1,2,9,23,24","1,4,5,15","1,2,7,9","1,2,7,16","4,7","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",2,"2,8",5,1,"1:3,2:3,3:0,4:2,5:0,6:2,7:0,8:2","1:3,2:2,3:3,4:2,5:3,6:2",Middle East and North Africa
49,"3,4","1:3,2:3,3:3,5:2,6:2,7:2,8:3,9:3,10:2,11:2,12:3,13:2,14:1,15:2,16:3,17:3,18:1,19:1,20:2,21:3,22:3,23:2,24:3,25:3","1,2,3,4,6,7,10,19,23,24","1,4,9,15","1,2,5,9,10,12,17,18,19,20","1,2,3,8,16","2,4,8,16,17,18,21","1:2,2:3,3:2,4:2,5:2,6:3,7:3,8:3,9:3,10:2,11:3,12:2",null,"7,8",5,1,"1:3,2:3,3:2,4:3,5:1,6:3,7:3,8:2","1:3,2:3,3:2,4:2,5:3,6:3,7:2",South Asia
51,3,"1:3,2:3,3:2,4:1,5:1,6:2,7:3,8:3,9:3,10:3,11:3,12:1,13:1,14:0,15:0,16:3,17:3,18:1,19:3,20:2,21:2,22:2,23:2,24:2,25:3","2,4,7,23,24","1,2,9,15","1,5,7,9,10,17,18,20,21","11,13,16","1,21","1:3,2:3,11:3,12:3",1,"2,8",4,1,"1:2,2:2,3:1,4:0,5:3,6:3,7:3,8:3","1:3,7:3",Sub-Saharan Africa
52,"1,2,3,4,5,6","1:3,2:3,3:3,4:3,5:2,6:2,7:2,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24","1,2,3,4,5,6,7,8,9,10,11,12,15","1,2,3,4,5,6,7,9,10,11,12,13,14,15,17,18,19,20,21","2,4,11,16","1,2,3,4,5,6,7,8,9,13,15,16,17,18,19,20,21,22","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,2,3","2,3,4,5,8",5,6,"1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",South Asia
54,3,"1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:3,9:0,10:1,11:0,12:3,13:0,14:0,15:2,16:3,17:3,18:0,19:0,20:0,21:0,22:0,23:0,24:3,25:3","21,23,24","1,15","1,2,5,9,14,17,20","1,2,16",22,"1:3,2:3,3:3,4:1,5:3,6:3,7:3,8:2,9:3,10:3,11:2,12:3",3,"6,8",8,1,"1:3,2:3,3:3,4:2,5:1,6:3,7:2,8:3","1:3,2:3,3:3,4:2,5:3,6:2,7:3",South Asia
55,"3,4,5,6","1:3,2:2,3:2,4:2,5:2,6:2,7:2,8:3,9:3,10:3,11:2,12:3,13:2,14:2,15:3,16:3,17:3,18:3,19:2,21:2,22:2,23:2,24:2,25:3","2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,23,24","1,4,15","1,2,3,7,8,9,11","1,2,12,16","1,2,3,4,5,6,7,8,9,10,19,20","1:3,2:3,3:3,4:2,5:2,6:3,7:2,8:2,9:3,10:3,11:3,12:3",4,"6,8",7,1,"1:3,2:3,3:2,4:2,5:2,6:3,7:2,8:2","1:3,2:3,3:3,4:2,5:3,7:3",Middle East and North Africa
56,7,"1:3,2:3,3:2,4:2,5:1,6:1,7:1,8:2,9:3,10:3,11:2,12:3,13:1,14:1,15:3,16:1,17:2,18:1,19:3,20:3,21:3,22:3,23:3,24:3,25:3","2,4,15,20,23,24","3,15","3,7,9,20","1,2,12,13,16","4,11,13,17,22","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",4,6,"1:2,2:2,3:2,4:3,5:2,6:1,7:2,8:3","1:3,2:2,3:3,4:3,5:2,6:2,7:2",South Asia
57,"2,3","1:2,2:0,3:1,4:1,5:1,6:2,7:0,8:3,9:3,10:0,11:3,12:3,13:0,14:0,15:0,16:3,17:2,18:0,19:0,20:1,21:0,22:0,23:0,24:0,25:3","17,19,20,23,24","1,4,5,15","1,2,7,8,9,12,20","2,7,11,16","19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",3,"6,8",8,6,"1:2,2:1,3:1,4:1,5:0,6:2,7:3,8:3","1:3,2:3,3:1,4:0,5:3,6:0,7:0",South Asia
58,"1,2,5","1:3,8:2,9:2","1,3,23,24","1,3,4,15","1,3,7,9,12,20","2,12,13,16","1,5,7","1:3,4:3,6:3",1,"2,8",5,4,"1:3,3:3,8:3","1:3,3:2,7:2",South Asia
60,"2,3","1:3,2:3,3:2,4:1,5:1,6:3,7:2,8:3,9:3,10:2,11:3,12:3,13:2,14:0,15:1,16:3,17:2,18:2,19:1,20:1,21:1,22:2,23:1,24:3,25:3","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,23,24","1,2,3,4,9,15","1,2,5,9,12,17,18,20,21","1,2,11,12,13,16","1,2,3,4,5,6,7,8,9,12,18,19,20,21","1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3",null,"7,8",7,4,"1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3","1:3,2:3,3:3,4:2,5:3,6:3,7:3",Europe
61,"1,2,3,6","1:3,2:3,3:1,4:2,5:1,6:2,7:2,8:2,9:2,10:1,11:2,12:2,13:1,14:1,15:1,16:2,17:2,18:1,19:1,20:1,21:1,22:1,23:1,24:1,25:2","1,2,17,23,24","1,4,9,15","1,2,3,4,5,9,10,11,12,19,20","2,13,16","2,8,18,19","1:2,2:3,3:2,4:3,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2",4,"6,8",6,4,"1:3,2:3,3:3,4:2,5:2,6:1,7:1,8:3","1:3,2:1,3:3,4:1,5:1,6:2,7:3",Europe
62,"1,2,3,6","1:2,2:3,3:3,4:1,5:2,6:2,7:2,8:2,9:1,10:1,11:1,12:1,13:1,14:1,15:1,16:1,17:1,18:1,19:1,20:1,21:1,22:1,23:1,24:1,25:1","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","1,4,15","1,3,7,8,9,11,13,17,19,20","1,2,3,4,5,16",21,"1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2","1,4","6,8",8,4,"1:3,2:1,3:2,4:2,5:2,6:3,7:1,8:1","1:3,2:2,3:1,4:1,5:3,6:2,7:2",South Asia
63,"1,2,3,4,5","1:3,2:3,3:3,4:3,5:1,6:0,7:3,8:3,9:2,10:2,11:3,12:3,13:2,14:2,15:2,16:3,17:2,18:2,19:2,20:0,21:1,22:1,23:1,24:1,25:1","23,24","1,4,9,15","1,2,5,8,9,10,11,12,15,17,18,20,21","2,3,12,16",null,"1:3,2:3,3:2,4:1,5:3,6:3,7:3,8:2,9:2,10:1,11:1,12:3","1,4",8,1,1,"1:3,2:3,3:2,4:2,5:2,6:2,7:1,8:1","1:3,2:2,3:0,4:2,5:1,6:0,7:0",null
64,"1,3","1:3,2:1,3:0,4:0,5:0,6:2,7:1,8:1,9:2,10:1,11:1,12:2,13:0,14:0,15:1,16:2,17:2,18:0,19:0,20:1,21:1,22:1,23:1,24:0,25:2","2,3,4,23,24","1,4,5,15","1,12,15,18,20","2,8,13,16","4,7,13,14,18","1:3,2:3,3:2,4:2,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:1",1,"6,8",8,4,"1:2,2:1,3:1,4:1,5:1,6:2,7:2,8:2","1:3,2:2,3:1,4:1,5:3,6:1,7:1",Sub-Saharan Africa
65,6,"1:3,2:2,3:0,4:0,5:0,6:1,7:2,8:3,9:3,10:2,11:0,12:0,13:0,14:0,15:1,16:3,17:3,18:2,19:2,20:3,21:3,22:2,23:2,24:1,25:2","2,3,5,6,8,9,10,13,14,16,18,19,23,24","1,2,4,6,7,9,15","1,2,3,4,5,7,9,12,17,18,19,20,21","1,2,3,11,12,13,16","2,3,7,8,12,17,20","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3",4,"4,8",8,6,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3",South Asia
66,"2,3","1:3,2:3,3:3,4:3,5:1,6:2,7:0,8:2,9:2,10:0,11:3,12:3,13:1,14:0,15:0,16:3,17:3,18:0,19:0,20:0,21:1,22:0,23:1,24:1,25:3","2,4,5,23,24","1,2,4,15","1,2,3,7,8,9,15,18,20","2,8,11,13,16","7,21,22","1:3,2:3,3:1,4:1,5:3,6:2,7:3,8:2,9:2,10:2,11:2,12:2",4,"6,7,8",5,1,"1:3,2:3,3:2,4:1,5:0,6:3,7:2,8:2","1:3,2:2,3:2,4:1,5:3,6:1,7:2",Sub-Saharan Africa
67,7,null,"4,5,7,23,24","1,4,15","3,5,9,11","2,5,11,16","2,22","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:1,9:1,10:2,11:2,12:3",3,"6,8",8,6,"1:2,2:3,3:3,4:3,5:0,6:3,7:0,8:0","1:3,2:3,3:3,4:3,5:3",South Asia
68,"1,3","1:3,2:3,9:3","23,24","1,3,15","1,2,3,7,20","1,2,12,16",null,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,8,8,4,"1:3,3:3","1:3,2:2,3:3,6:3",null
69,3,"1:2,2:2,7:2,8:2,9:2,10:1,11:1,12:3,17:2,25:3","4,6,20,23,24","3,7,9,15","3,17,20,21","15,16","2,4,13,21","1:2,7:2,8:2,10:3,11:3,12:3",null,"1,4,8",8,6,"7:2,8:2",2:01,South Asia
